"Time (s)" "Packet Inter-arrival (ms)" "avg_OSD.flyTime [s]" "Distance (m)" "Height (m)" "Speed - x (m/s)" "Speed - y (m/s)" "Speed - z (m/s)" "Speed (m/s)"
1.0 21.579 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.196 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 18.298 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.442 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.254 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.197 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.596 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.034 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 2.762 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 37.201 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.561 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.224 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.221 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.226 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.259 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 17.235 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 1.435 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 22.13 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.689 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.205 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.255 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.176 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.11 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 40.084 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.678 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.106 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.224 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.226 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.088 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 34.204 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 8.058 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.609 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.162 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.514 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.047 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.028 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 37.975 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.607 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.233 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.19 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.219 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.571 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.051 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 38.417 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 4.232 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.567 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.222 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.219 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.142 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.222 1.45 1.773 0.0 0.0 0.0 0.0 0.0
