Time (s),Packet Interval (ms),avg_OSD.flyTime [s],Distance (m),Height (m),Speed - x (m/s),Speed - y (m/s),Speed - z (m/s),Speed (m/s)
4,44.92,4.45,0.151,0.84,0,0,-0.46,0.46
4,0.398,4.45,0.151,0.84,0,0,-0.46,0.46
4,15.074,4.45,0.151,0.84,0,0,-0.46,0.46
4,1.278,4.45,0.151,0.84,0,0,-0.46,0.46
4,10.053,4.45,0.151,0.84,0,0,-0.46,0.46
4,5.624,4.45,0.151,0.84,0,0,-0.46,0.46
4,1.352,4.45,0.151,0.84,0,0,-0.46,0.46
4,4.953,4.45,0.151,0.84,0,0,-0.46,0.46
4,9.993,4.45,0.151,0.84,0,0,-0.46,0.46
4,2.5,4.45,0.151,0.84,0,0,-0.46,0.46
4,8.098,4.45,0.151,0.84,0,0,-0.46,0.46
4,29.876,4.45,0.151,0.84,0,0,-0.46,0.46
4,10.196,4.45,0.151,0.84,0,0,-0.46,0.46
4,28.272,4.45,0.151,0.84,0,0,-0.46,0.46
4,3.34,4.45,0.151,0.84,0,0,-0.46,0.46
4,16.086,4.45,0.151,0.84,0,0,-0.46,0.46
4,65.708,4.45,0.151,0.84,0,0,-0.46,0.46
4,14.442,4.45,0.151,0.84,0,0,-0.46,0.46
4,0.393,4.45,0.151,0.84,0,0,-0.46,0.46
4,19.774,4.45,0.151,0.84,0,0,-0.46,0.46
4,0.897,4.45,0.151,0.84,0,0,-0.46,0.46
4,7.31,4.45,0.151,0.84,0,0,-0.46,0.46
4,13.201,4.45,0.151,0.84,0,0,-0.46,0.46
5,24.682,5.45,0.088,1.18,0,0,-0.15,0.15
5,25.912,5.45,0.088,1.18,0,0,-0.15,0.15
5,9.678,5.45,0.088,1.18,0,0,-0.15,0.15
5,11.136,5.45,0.088,1.18,0,0,-0.15,0.15
5,6.944,5.45,0.088,1.18,0,0,-0.15,0.15
5,10.906,5.45,0.088,1.18,0,0,-0.15,0.15
5,0.064,5.45,0.088,1.18,0,0,-0.15,0.15
5,3.666,5.45,0.088,1.18,0,0,-0.15,0.15
5,46.296,5.45,0.088,1.18,0,0,-0.15,0.15
5,11.696,5.45,0.088,1.18,0,0,-0.15,0.15
5,6.932,5.45,0.088,1.18,0,0,-0.15,0.15
5,20.949,5.45,0.088,1.18,0,0,-0.15,0.15
5,11.97,5.45,0.088,1.18,0,0,-0.15,0.15
5,0.057,5.45,0.088,1.18,0,0,-0.15,0.15
5,9.957,5.45,0.088,1.18,0,0,-0.15,0.15
5,11.82,5.45,0.088,1.18,0,0,-0.15,0.15
5,25.254,5.45,0.088,1.18,0,0,-0.15,0.15
5,9.283,5.45,0.088,1.18,0,0,-0.15,0.15
5,2.294,5.45,0.088,1.18,0,0,-0.15,0.15
5,11.085,5.45,0.088,1.18,0,0,-0.15,0.15
5,2.001,5.45,0.088,1.18,0,0,-0.15,0.15
5,4.192,5.45,0.088,1.18,0,0,-0.15,0.15
5,0.087,5.45,0.088,1.18,0,0,-0.15,0.15
5,34.218,5.45,0.088,1.18,0,0,-0.15,0.15
5,12.079,5.45,0.088,1.18,0,0,-0.15,0.15
5,19.092,5.45,0.088,1.18,0,0,-0.15,0.15
5,26.252,5.45,0.088,1.18,0,0,-0.15,0.15
5,20.625,5.45,0.088,1.18,0,0,-0.15,0.15
5,4.839,5.45,0.088,1.18,0,0,-0.15,0.15
5,9.078,5.45,0.088,1.18,0,0,-0.15,0.15
5,0.055,5.45,0.088,1.18,0,0,-0.15,0.15
5,4.952,5.45,0.088,1.18,0,0,-0.15,0.15
5,15.722,5.45,0.088,1.18,0,0,-0.15,0.15
5,13.434,5.45,0.088,1.18,0,0,-0.15,0.15
5,22.123,5.45,0.088,1.18,0,0,-0.15,0.15
5,9.417,5.45,0.088,1.18,0,0,-0.15,0.15
5,16.305,5.45,0.088,1.18,0,0,-0.15,0.15
5,4.247,5.45,0.088,1.18,0,0,-0.15,0.15
5,4.065,5.45,0.088,1.18,0,0,-0.15,0.15
5,10.204,5.45,0.088,1.18,0,0,-0.15,0.15
5,1.103,5.45,0.088,1.18,0,0,-0.15,0.15
5,11.683,5.45,0.088,1.18,0,0,-0.15,0.15
5,7.623,5.45,0.088,1.18,0,0,-0.15,0.15
5,21.034,5.45,0.088,1.18,0,0,-0.15,0.15
5,2.495,5.45,0.088,1.18,0,0,-0.15,0.15
5,20.288,5.45,0.088,1.18,0,0,-0.15,0.15
5,1.749,5.45,0.088,1.18,0,0,-0.15,0.15
5,18.52,5.45,0.088,1.18,0,0,-0.15,0.15
