Time (s),Packet Interval (ms),avg_Time (s),avg_Speed (m/s),avg_Distance (m),Distance (m),avg_Height (m),Height (m)
111,0.342,111.4401071,1.1,20.26714286,20,25.85714286,26
111,3.154,111.4401071,1.1,20.26714286,20,25.85714286,26
111,13.401,111.4401071,1.1,20.26714286,20,25.85714286,26
111,5.577,111.4401071,1.1,20.26714286,20,25.85714286,26
111,3.362,111.4401071,1.1,20.26714286,20,25.85714286,26
111,6.555,111.4401071,1.1,20.26714286,20,25.85714286,26
111,4.564,111.4401071,1.1,20.26714286,20,25.85714286,26
111,6.572,111.4401071,1.1,20.26714286,20,25.85714286,26
111,1.066,111.4401071,1.1,20.26714286,20,25.85714286,26
111,13.99,111.4401071,1.1,20.26714286,20,25.85714286,26
111,10.614,111.4401071,1.1,20.26714286,20,25.85714286,26
111,12.723,111.4401071,1.1,20.26714286,20,25.85714286,26
111,15.003,111.4401071,1.1,20.26714286,20,25.85714286,26
111,15.505,111.4401071,1.1,20.26714286,20,25.85714286,26
111,19.376,111.4401071,1.1,20.26714286,20,25.85714286,26
111,9.624,111.4401071,1.1,20.26714286,20,25.85714286,26
111,19.011,111.4401071,1.1,20.26714286,20,25.85714286,26
111,17.752,111.4401071,1.1,20.26714286,20,25.85714286,26
111,14.946,111.4401071,1.1,20.26714286,20,25.85714286,26
111,0.092,111.4401071,1.1,20.26714286,20,25.85714286,26
111,0.028,111.4401071,1.1,20.26714286,20,25.85714286,26
111,1.258,111.4401071,1.1,20.26714286,20,25.85714286,26
111,6.53,111.4401071,1.1,20.26714286,20,25.85714286,26
111,6.462,111.4401071,1.1,20.26714286,20,25.85714286,26
111,0.426,111.4401071,1.1,20.26714286,20,25.85714286,26
111,3.478,111.4401071,1.1,20.26714286,20,25.85714286,26
111,3.145,111.4401071,1.1,20.26714286,20,25.85714286,26
111,5.636,111.4401071,1.1,20.26714286,20,25.85714286,26
111,2.873,111.4401071,1.1,20.26714286,20,25.85714286,26
111,3.411,111.4401071,1.1,20.26714286,20,25.85714286,26
111,3.192,111.4401071,1.1,20.26714286,20,25.85714286,26
111,0.892,111.4401071,1.1,20.26714286,20,25.85714286,26
111,0.524,111.4401071,1.1,20.26714286,20,25.85714286,26
111,0.528,111.4401071,1.1,20.26714286,20,25.85714286,26
111,3.97,111.4401071,1.1,20.26714286,20,25.85714286,26
111,3.668,111.4401071,1.1,20.26714286,20,25.85714286,26
111,0.067,111.4401071,1.1,20.26714286,20,25.85714286,26
111,15.254,111.4401071,1.1,20.26714286,20,25.85714286,26
111,4.403,111.4401071,1.1,20.26714286,20,25.85714286,26
111,4.841,111.4401071,1.1,20.26714286,20,25.85714286,26
111,18.299,111.4401071,1.1,20.26714286,20,25.85714286,26
111,3.295,111.4401071,1.1,20.26714286,20,25.85714286,26
111,4.308,111.4401071,1.1,20.26714286,20,25.85714286,26
111,3.247,111.4401071,1.1,20.26714286,20,25.85714286,26
111,31.373,111.4401071,1.1,20.26714286,20,25.85714286,26
111,3.302,111.4401071,1.1,20.26714286,20,25.85714286,26
111,4.556,111.4401071,1.1,20.26714286,20,25.85714286,26
111,18.922,111.4401071,1.1,20.26714286,20,25.85714286,26
