Time,Packet Inter-arrival (s),Time (s),avg_OSD.height [m]
11.384578,0.029375,11,1.5
11.397559,0.012981,11,1.5
11.418947,0.021388,11,1.5
11.423512,0.004565,11,1.5
11.439397,0.015885,11,1.5
11.451682,0.012285,11,1.5
11.46003,0.008348,11,1.5
11.480399,0.020369,11,1.5
11.5007,0.020301,12,1.5
11.521174,0.020474,12,1.5
11.541464,0.02029,12,1.5
11.563721,0.022257,12,1.5
11.59423,0.030509,12,1.5
11.606051,0.011821,12,1.5
11.606389,0.000338,12,1.5
11.641093,0.034704,12,1.5
11.651395,0.010302,12,1.5
11.652931,0.001536,12,1.5
11.67213,0.019199,12,1.5
11.694103,0.021973,12,1.5
11.714416,0.020313,12,1.5
11.734755,0.020339,12,1.5
11.757216,0.022461,12,1.5
11.757815,0.000599,12,1.5
11.777525,0.01971,12,1.5
11.797812,0.020287,12,1.5
11.818255,0.020443,12,1.5
11.838687,0.020432,12,1.5
11.858969,0.020282,12,1.5
11.87926,0.020291,12,1.5
11.899541,0.020281,12,1.5
11.920155,0.020614,12,1.5
11.940562,0.020407,12,1.5
11.962922,0.02236,12,1.5
11.986337,0.023415,12,1.5
12.006627,0.02029,12,1.5
12.033639,0.027012,12,1.5
12.057402,0.023763,12,1.5
12.064909,0.007507,12,1.5
12.077711,0.012802,12,1.5
12.097989,0.020278,12,1.5
12.119529,0.02154,12,1.5
12.139895,0.020366,12,1.5
12.163595,0.0237,12,1.5
12.164435,0.00084,12,1.5
12.164784,0.000349,12,1.5
12.186333,0.021549,12,1.5
12.206629,0.020296,12,1.5
12.227038,0.020409,12,1.5
12.247377,0.020339,12,1.5
12.27952,0.032143,12,1.5
12.290769,0.011249,12,1.5
12.312697,0.021928,12,1.5
12.334342,0.021645,12,1.5
12.363981,0.029639,12,1.5
12.370108,0.006127,12,1.5
12.370183,7.50E-05,12,1.5
12.37023,4.70E-05,12,1.5
12.370276,4.60E-05,12,1.5
12.391183,0.020907,12,1.5
12.411792,0.020609,12,1.5
12.435981,0.024189,12,1.5
12.453153,0.017172,12,1.5
12.460307,0.007154,12,1.5
12.471506,0.011199,12,1.5
12.48859,0.017084,12,1.5
12.511324,0.022734,13,1.5
12.531672,0.020348,13,1.5
12.557137,0.025465,13,1.5
12.577414,0.020277,13,1.5
12.59862,0.021206,13,1.5
12.601174,0.002554,13,1.5
12.618892,0.017718,13,1.5
12.642778,0.023886,13,1.5
12.66885,0.026072,13,1.5
12.674912,0.006062,13,1.5
12.689341,0.014429,13,1.5
12.710002,0.020661,13,1.5
12.730323,0.020321,13,1.5
12.738613,0.00829,13,1.5
