Data Rate (kbps),Data Rate (kbps)2,Data Rate (kbps)3,Packet Interval (ms),Packet Interval (ms)2,Packet Interval (ms)3,Packet Length (bytes),Packet Length (bytes)2,Packet Length (bytes)3
,,,6.893,10.552,0.787,76,85,66
,,,10.35,9.747,23.314,74,76,95
,,,3.289,7.171,20.304,102,76,66
,,,0.275,0.247,0.914,74,76,66
,,,19.98,13.8,0.955,102,154,66
,,,20.896,20.303,2.797,102,154,95
,,,20.373,25.298,25.018,102,102,95
,,,20.263,4.545,0.74,76,85,66
,,,5.946,15.787,24.264,76,154,95
,,,11.985,3.974,5.141,88,85,66
,,,2.298,19.048,0.476,102,75,66
,,,21.95,0.062,19.376,102,79,95
,,,20.288,1.274,19.756,102,154,74
,,,20.258,30.907,5.224,102,154,95
,,,20.253,23.333,14.195,102,102,74
,,,3.939,5.587,9.078,76,85,74
,,,1.12,17.324,1.726,75,154,66
,,,0.803,2.196,0.007,75,85,95
,,,0.787,8.702,20.435,75,76,66
,,,0.361,1.826,4.562,75,85,95
,,,0.361,14.405,4.384,75,85,66
,,,12.883,0.062,4.513,76,101,66
,,,20.273,4.693,16.138,128,154,95
,,,22.092,22.102,1.996,102,154,66
,,,20.26,21.749,2.71,76,102,66
,,,20.252,7.658,20.296,102,85,95
,,,2.574,12.806,21.055,76,154,66
,,,0.401,6.505,2.678,76,85,66
,,,4.532,20.019,1.292,83,76,95
,,,12.904,0.062,14.716,76,84,90
,,,20.308,4.938,1.029,128,154,118
,,,20.281,10.206,9.25,102,76,95
,,,20.287,21.754,0.5,76,154,66
,,,22.743,20.333,0.765,102,102,66
,,,0.345,1.609,23.736,76,85,95
,,,19.932,9.767,24.994,76,74,95
,,,20.93,10.876,10.489,128,85,66
,,,1.829,0.757,0.996,74,154,66
,,,1.108,20.267,13.524,102,154,95
,,,0.329,1.433,25.025,74,79,95
,,,21.433,19.183,5.649,102,76,66
,,,20.306,13.182,1.065,76,74,66
,,,3.834,7.646,1.827,79,154,66
,,,3.527,17.297,1.19,87,85,66
,,,2.887,11.601,1.261,78,180,66
,,,0.706,8.661,1.214,78,85,66
,,,4.508,16.162,1.098,72,128,66
,,,0.291,7.98,1.225,84,76,66
,,,4.494,0.59,1.175,102,76,66
,,,1.083,23.454,1.186,76,154,66
,,,20.926,17.104,1.182,102,102,66
,,,20.39,25.07,1.207,102,180,66
,,,20.834,1.54,1.21,102,85,66
,,,20.968,16.525,1.19,102,79,66
,,,13.188,2.817,1.27,79,76,66
,,,0.067,13.761,0.476,76,76,66
