Data Rate (kbps),Data Rate (kbps)2,Data Rate (kbps)3,Packet Interval (ms),Packet Interval (ms)2,Packet Interval (ms)3,Packet Length (bytes),Packet Length (bytes)2,Packet Length (bytes)3
1932.93,1187.31,,0.29,0.632,0.55,975,1514,1514
2027.07,1204.22,,0.12,0.127,0.48,975,1514,1514
2079.66,980.976,,0.645,0.192,0.71,975,1514,1514
1706.53,1093.58,,0.146,0.203,0.486,975,1514,1514
2013.46,1855.5,,0.177,0.083,0.627,975,1514,1514
2025.99,1636.62,,0.196,0.147,0.561,975,1514,1514
1801.03,1554.26,,0.201,0.124,0.696,975,1514,1514
2130.66,1574.26,,0.087,0.149,0.61,975,766,1514
2144.76,2222.34,,1.651,0.144,0.601,975,76,1514
1796.34,1509.23,,20.354,0.16,0.583,975,102,1514
2046.08,1617.65,,16.167,0.56,0.803,975,1514,1514
2152.34,1197.62,,0.918,0.136,0.56,975,1514,1514
1765.98,785.28,,0.042,0.146,0.618,975,1514,1514
2169.08,993.384,,0.024,0.146,0.506,975,1514,1514
2066.2,1218.35,,0.06,0.152,0.707,975,1514,1514
1792.49,1385.64,,0.329,0.033,0.535,153,1514,1514
2174.5,1363.66,,0.065,17.951,0.624,1514,1514,1514
2189.54,917,,0.179,0.491,1.365,1514,1514,1514
1892.34,1408.94,,0.198,0.219,0.734,1514,1514,1514
2181.07,1047.5,,0.198,0.222,0.608,1514,1514,1514
2287.06,634.664,,0.199,0.2,1.221,1394,1514,1514
1858.28,662.056,,0.614,11.778,0.63,1078,1111,1514
2400.41,459.232,,1.859,13.149,0.616,723,76,1514
2036.67,787.536,,8.76,15.249,0.532,1514,429,1514
1348.3,148.32,,11.509,0.54,1.09,1514,102,1514
158.184,85,,6.82,0.233,0.572,1514,1514,1514
290.816,134.696,,1.145,0.212,0.386,1514,1514,1037
1364.39,50.12,,0.431,0.071,0.65,503,1514,1514
2176.08,383.64,,0.196,11.837,0.723,79,1514,1514
2550.48,49.224,,0.199,0.264,2.536,79,1514,989
2581.7,30.392,,0.276,28.747,12.917,1514,1514,985
2677.21,74.6,,0.12,0.571,10.281,1514,1514,1514
2822.65,440,,0.223,0.181,0.593,1514,1514,1514
2735.11,71.816,,0.228,0.232,0.774,1514,1514,1514
2518.86,362.696,,0.15,0.221,0.408,1514,1514,745
2755.9,879.752,,0.205,0.053,28.212,129,1514,1514
2810.85,179.864,,0.031,28.378,1.687,1078,340,1514
2702.69,238.664,,10.239,12.332,0.147,1514,128,1514
3055.36,48.432,,2.101,0.553,0.099,1514,1078,1320
2969.1,266.216,,18.116,0.58,22.692,1514,1514,985
3050.83,1111.9,,0.033,0.045,50.405,1514,76,1514
2977.1,310.688,,0.449,0.065,0.609,1514,1514,1514
2963.94,198.016,,0.191,0.027,0.507,436,1514,863
2290.85,68.264,,0.198,0.411,13.58,498,1514,985
2469.91,87.56,,0.19,21.579,15.211,82,1514,1514
2801.47,119.12,,0.555,0.196,0.741,137,1514,1514
2650.6,1112.78,,0.197,18.298,0.395,1514,1514,1011
1402.88,1258.58,,0.201,0.442,28.94,1514,1514,1514
